species	genome	time	distances
Absiella_dolichum	Absiella_dolichum_GCA_003149895	193.0	1.0166666666666666
Acetobacter_aceti	Acetobacter_aceti_NBRC_14818_GCA_000193495	325.0	3.216666666666667
Acetobacter_ascendens	Acetobacter_ascendens_GCA_001766255	247.0	1.8
Acetobacter_cerevisiae	Acetobacter_cerevisiae_GCA_001581105	230.0	1.5
Acetobacter_cibinongensis	Acetobacter_cibinongensis_4H_1_GCA_000963925	201.0	1.0833333333333333
Acetobacter_indonesiensis	Acetobacter_indonesiensis_5H_1_GCA_000963945	231.0	1.5333333333333334
Acetobacterium_bakii	Acetobacterium_bakii_GCA_900562175	218.0	2.283333333333333
Acetobacter_malorum	Acetobacter_malorum_GCA_001581035	284.0	3.466666666666667
Acetobacter_okinawensis	Acetobacter_okinawensis_GCA_002153655	132.0	0.95
Acetobacter_orientalis	Acetobacter_orientalis_21F_2_GCA_000963965	344.0	2.716666666666667
Acetobacter_orleanensis	Acetobacter_orleanensis_GCA_002358055	275.0	1.55
Acetobacter_oryzifermentans	Acetobacter_oryzifermentans_GCA_002220195	258.0	1.1333333333333333
Acetobacter_pasteurianus	Acetobacter_pasteurianus_subsp__pasteurianus_LMG_1262___NBRC_106471_GCA_000241625	327.0	2.4
Acetobacter_persici	Acetobacter_persici_JCM_25330_GCA_000613905	277.0	1.6
Acetobacter_senegalensis	Acetobacter_senegalensis_GCA_001499615	297.0	1.8333333333333333
Acetobacter_syzygii	Acetobacter_syzygii_GCA_002276805	307.0	2.05
Acetobacter_tropicalis	Acetobacter_tropicalis_GCA_001580945	390.0	3.55
Acholeplasma_laidlawii	Acholeplasma_laidlawii_GCA_001730135	207.0	0.45
Acholeplasma_oculi	Acholeplasma_oculi_GCA_000953195	240.0	0.9166666666666666
Achromobacter_denitrificans	Achromobacter_denitrificans_GCA_003939895	673.0	9.6
Achromobacter_insolitus	Achromobacter_insolitus_GCA_900637265	358.0	4.1
Achromobacter_marplatensis	Achromobacter_marplatensis_GCA_002209535	349.0	3.933333333333333
Achromobacter_piechaudii	Achromobacter_piechaudii_GCA_001262515	316.0	3.5
Achromobacter_xylosoxidans	Achromobacter_xylosoxidans_GCA_001957055	558.0	7.45
Acidaminococcus_fermentans	Acidaminococcus_fermentans_GCA_900314805	314.0	2.1333333333333333
Acidaminococcus_intestini	Acidaminococcus_intestini_GCA_000174215	256.0	1.1833333333333333
Acidibacillus_ferrooxidans	Acidibacillus_ferrooxidans_GCA_002027205	299.0	1.8833333333333333
