dataset	datasets	inodes	size
Absiella_dolichum	3	229	11021
Acetobacter_aceti	7	381	37449
Acetobacter_ascendens	3	229	14640
Acetobacter_cerevisiae	3	229	15005
Acetobacter_cibinongensis	2	191	10403
Acetobacter_indonesiensis	3	229	15206
Acetobacterium_bakii	3	229	18468
Acetobacter_malorum	7	381	37980
Acetobacter_okinawensis	2	191	9928
Acetobacter_orientalis	6	343	27303
Acetobacter_orleanensis	3	230	14119
Acetobacter_oryzifermentans	2	191	10137
Acetobacter_pasteurianus	29	1251	168619
Acetobacter_persici	3	230	16376
Acetobacter_senegalensis	3	231	17519
Acetobacter_syzygii	5	308	19853
Acetobacter_tropicalis	7	386	38576
Acholeplasma_laidlawii	10	522	27183
Acholeplasma_oculi	3	230	9213
Achromobacter_denitrificans	10	500	98425
Achromobacter_insolitus	10	506	100165
Achromobacter_marplatensis	3	231	27702
Achromobacter_piechaudii	3	231	25307
Achromobacter_xylosoxidans	68	2775	1230282
Acidaminococcus_fermentans	6	349	21513
Acidaminococcus_intestini	3	231	11973
Acidibacillus_ferrooxidans	4	270	19344
Acidiferrobacter_thiooxydans	2	192	10586
Acidihalobacter_prosperus	3	228	15891
Acidiphilium_multivorum	2	191	12560
Acidiplasma_aeolicum	2	193	7262
Acidiplasma_cupricumulans	2	193	7289
Acidipropionibacterium_acidipropionici	7	381	38769
Acidithiobacillus_caldus	7	381	33068
Acidithiobacillus_ferrooxidans	9	464	44773
Acidithiobacillus_thiooxidans	11	538	61761
Acidocella_aminolytica	2	191	12368
Acidovorax_avenae	18	813	121807
Acidovorax_caeni	2	196	13065
Acidovorax_carolinensis	4	271	24279
Acidovorax_cattleyae	2	193	14709
Acidovorax_citrulli	10	524	75643
Acidovorax_radicis	2	191	15779
Acinetobacter_baylyi	5	305	27144
Acinetobacter_beijerinckii	3	229	15837
Acinetobacter_bereziniae	9	468	65394
Acinetobacter_bohemicus	2	191	11417
Acinetobacter_bouvetii	3	230	15189
Acinetobacter_brisouii	4	267	18639
Acinetobacter_calcoaceticus	20	916	132085
Acinetobacter_colistiniresistens	4	270	24079
Acinetobacter_gerneri	3	230	19284
Acinetobacter_guillouiae	5	310	33305
Acinetobacter_gyllenbergii	5	313	32071
Acinetobacter_haemolyticus	20	923	116414
Acinetobacter_indicus	33	1429	201871
Acinetobacter_johnsonii	23	1034	142929
Acinetobacter_junii	29	1260	180871
Acinetobacter_lactucae	8	423	43558
Acinetobacter_lwoffii	16	761	85275
Acinetobacter_nosocomialis	102	4143	1189412
Acinetobacter_oleivorans	6	343	35594
Acinetobacter_parvus	5	307	22622
Acinetobacter_radioresistens	47	1954	293095
Acinetobacter_rudis	2	191	12021
Acinetobacter_schindleri	9	464	43817
Acinetobacter_seifertii	9	466	56691
Acinetobacter_soli	12	588	67401
Acinetobacter_tandoii	4	267	22331
Acinetobacter_tjernbergiae	3	229	16376
Acinetobacter_towneri	4	267	17653
Acinetobacter_ursingii	30	1287	190862
Acinetobacter_venetianus	11	546	61610
Actinoalloteichus_cyanogriseus	3	229	23844
Actinobacillus_lignieresii	3	229	11781
Actinobacillus_minor	2	191	8402
